Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
India/Tripura,Government/territory,Asia and Pacific,1993-08-23,Intra,SubPar,IND,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
Indonesia/Aceh,Government/territory,Asia and Pacific,2005-08-15,Intra,SubPar,IDN,1,1,0,1,1,1,1,2,0,2,0,0,1,0,1,2,1,0,2,3,2,0,1,0,3,0,0,3,3,1,1,2,1
Indonesia/Aceh,Government/territory,Asia and Pacific,2002-12-16,Intra,Cea,IDN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2002-12-09,Intra,Cea,IDN,0,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1
Indonesia/Aceh,Government/territory,Asia and Pacific,2002-05-10,Intra,Pre,IDN,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2002-02-03,Intra,Pre,IDN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-07-01,Intra,Pre,IDN,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-04-04,Intra,Cea,IDN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-03-18,Intra,Cea,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-03-01,Intra,Cea,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
